date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:35:42	89493/89493	---M-Z	200	added ('OK')	application/javascript	etag:%223de0545-15d95-5a391f580d600-gzip%22	http://ac.devfitness.in/admin/js/jquery-3.5.0.min.js	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/js/jquery-3.5.0.min.js	(from http://ac.devfitness.in/admin/login.php)
10:35:42	60010/60010	---M-Z	200	added ('OK')	application/javascript	etag:%223de0534-ea6a-5a438baa43200-gzip%22	http://ac.devfitness.in/admin/js/bootstrap.min.js	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/js/bootstrap.min.js	(from http://ac.devfitness.in/admin/login.php)
10:35:46	21233/21233	---M-Z	200	added ('OK')	application/javascript	etag:W/%2252f1-MTeJyg4xtlR4TbuosPg/Nk+Gg7Q%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js	C:/My%20Web%20Sites/carrion/cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js	(from http://ac.devfitness.in/admin/login.php)
10:35:46	72380/72380	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-11abc%22	https://code.jquery.com/jquery-3.5.1.slim.min.js	C:/My%20Web%20Sites/carrion/code.jquery.com/jquery-3.5.1.slim.min.js	(from http://ac.devfitness.in/admin/login.php)
10:35:47	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:48%20GMT	http://ac.devfitness.in/admin/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-brands-400.14.delayed	(from http://ac.devfitness.in/admin/css/all.css)
10:35:48	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:48%20GMT	http://ac.devfitness.in/admin/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-brands-400.15d41d.delayed	(from http://ac.devfitness.in/admin/css/all.css)
10:35:48	60044/60044	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:10%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.1/js/bootstrap.min.js	C:/My%20Web%20Sites/carrion/stackpath.bootstrapcdn.com/bootstrap/4.5.1/js/bootstrap.min.js	(from http://ac.devfitness.in/admin/login.php)
10:35:48	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:49%20GMT	http://ac.devfitness.in/admin/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-brands-400.16.delayed	(from http://ac.devfitness.in/admin/css/all.css)
10:35:49	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:49%20GMT	http://ac.devfitness.in/admin/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-brands-400.woff	(from http://ac.devfitness.in/admin/css/all.css)
10:35:49	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:49%20GMT	http://ac.devfitness.in/admin/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-brands-400.18.delayed	(from http://ac.devfitness.in/admin/css/all.css)
10:35:49	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:50%20GMT	http://ac.devfitness.in/admin/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-brands-400.svg	(from http://ac.devfitness.in/admin/css/all.css)
10:35:49	78871/78871	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213417-CF7M/QNtoe32ATiKaM/lyzFrHiw%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.1/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/carrion/cdn.jsdelivr.net/npm/bootstrap@5.1.1/dist/js/bootstrap.bundle.min.js	(from http://ac.devfitness.in/admin/login.php)
10:35:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:50%20GMT	http://ac.devfitness.in/admin/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-regular-400.1a.delayed	(from http://ac.devfitness.in/admin/css/all.css)
10:35:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:51%20GMT	http://ac.devfitness.in/admin/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-regular-400d41d.eot	(from http://ac.devfitness.in/admin/css/all.css)
10:35:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:51%20GMT	http://ac.devfitness.in/admin/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-regular-400.woff2	(from http://ac.devfitness.in/admin/css/all.css)
10:35:51	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:51%20GMT	http://ac.devfitness.in/admin/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-regular-400.woff	(from http://ac.devfitness.in/admin/css/all.css)
10:35:51	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:51%20GMT	http://ac.devfitness.in/admin/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-regular-400.ttf	(from http://ac.devfitness.in/admin/css/all.css)
10:35:51	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:51%20GMT	http://ac.devfitness.in/admin/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-regular-400.svg	(from http://ac.devfitness.in/admin/css/all.css)
10:35:51	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:52%20GMT	http://ac.devfitness.in/admin/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-solid-900.eot	(from http://ac.devfitness.in/admin/css/all.css)
10:35:52	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:52%20GMT	http://ac.devfitness.in/admin/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-solid-900d41d.eot	(from http://ac.devfitness.in/admin/css/all.css)
10:35:52	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:52%20GMT	http://ac.devfitness.in/admin/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-solid-900.woff2	(from http://ac.devfitness.in/admin/css/all.css)
10:35:52	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:52%20GMT	http://ac.devfitness.in/admin/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-solid-900.woff	(from http://ac.devfitness.in/admin/css/all.css)
10:35:52	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:53%20GMT	http://ac.devfitness.in/admin/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-solid-900.ttf	(from http://ac.devfitness.in/admin/css/all.css)
10:35:53	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2005:05:53%20GMT	http://ac.devfitness.in/admin/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/webfonts/fa-solid-900.svg	(from http://ac.devfitness.in/admin/css/all.css)
10:36:03	1260431/1260431	---MCZ	200	added ('OK')	application/javascript	etag:%223de04d1-133b8f-5bac918deca00-gzip%22	http://ac.devfitness.in/admin/js/all.js	C:/My%20Web%20Sites/carrion/ac.devfitness.in/admin/js/all.js	(from http://ac.devfitness.in/admin/login.php)
